,Location,Date,Hour,Measurement
0,muara_teweh,2019-01-01,,4.3
1,muara_teweh,2019-01-02,,3.8
2,muara_teweh,2019-01-03,,4.1
3,muara_teweh,2019-01-04,,4.7
4,muara_teweh,2019-01-05,,5.2
5,muara_teweh,2019-01-11,,7.7
6,muara_teweh,2019-01-12,,9.9
7,muara_teweh,2019-01-13,,9.9
8,muara_teweh,2019-01-14,,10.0
9,muara_teweh,2019-01-15,,10.25
10,muara_teweh,2019-01-16,,10.55
11,muara_teweh,2019-01-17,,11.0
12,muara_teweh,2019-01-18,,11.0
13,muara_teweh,2019-01-19,,10.25
14,muara_teweh,2019-01-20,,8.4
15,muara_teweh,2019-01-21,,7.1
16,muara_teweh,2019-01-22,,6.5
17,muara_teweh,2019-01-23,,6.7
18,muara_teweh,2019-01-24,,7.15
19,muara_teweh,2019-01-25,,8.0
20,muara_teweh,2019-01-27,,5.9
21,muara_teweh,2019-01-28,,4.9
22,muara_teweh,2019-01-29,,4.15
23,muara_teweh,2019-01-30,,5.8
24,muara_teweh,2019-01-31,,6.7
25,muara_teweh,2019-02-01,,6.8
26,muara_teweh,2019-02-02,,6.3
27,muara_teweh,2019-02-03,,6.0
28,muara_teweh,2019-02-04,,6.05
29,muara_teweh,2019-02-05,,6.9
30,muara_teweh,2019-02-06,,7.4
31,muara_teweh,2019-02-07,,9.0
32,muara_teweh,2019-02-08,,10.1
33,muara_teweh,2019-02-09,,10.55
34,muara_teweh,2019-02-10,,11.0
35,muara_teweh,2019-02-11,,11.55
36,muara_teweh,2019-02-12,,12.05
37,muara_teweh,2019-02-13,,12.7
38,muara_teweh,2019-02-14,,12.9
39,muara_teweh,2019-02-15,,12.5
40,muara_teweh,2019-02-16,,11.7
41,muara_teweh,2019-02-17,,11.7
42,muara_teweh,2019-02-18,,11.7
43,muara_teweh,2019-02-19,,8.05
44,muara_teweh,2019-02-20,,9.0
45,muara_teweh,2019-02-21,,10.0
46,muara_teweh,2019-02-22,,9.9
47,muara_teweh,2019-02-23,,8.4
48,muara_teweh,2019-02-24,,6.9
49,muara_teweh,2019-02-25,,6.5
50,muara_teweh,2019-02-26,,6.7
51,muara_teweh,2019-02-27,,7.4
52,muara_teweh,2019-02-28,,7.0
53,muara_teweh,2019-03-01,,6.4
54,muara_teweh,2019-03-02,,5.8
55,muara_teweh,2019-03-03,,5.5
56,muara_teweh,2019-03-04,,6.3
57,muara_teweh,2019-03-05,,6.6
58,muara_teweh,2019-03-06,,6.4
59,muara_teweh,2019-03-07,,5.9
60,muara_teweh,2019-03-08,,5.8
61,muara_teweh,2019-03-09,,6.9
62,muara_teweh,2019-03-10,,7.5
63,muara_teweh,2019-03-11,,7.9
64,muara_teweh,2019-03-12,,7.65
65,muara_teweh,2019-03-13,,7.0
66,muara_teweh,2019-03-14,,6.7
67,muara_teweh,2019-03-15,,6.75
68,muara_teweh,2019-03-16,,6.35
69,muara_teweh,2019-03-17,,5.6
70,muara_teweh,2019-03-18,,6.5
71,muara_teweh,2019-03-19,,6.9
72,muara_teweh,2019-03-20,,6.0
73,muara_teweh,2019-03-21,,5.0
74,muara_teweh,2019-03-22,,4.6
75,muara_teweh,2019-03-23,,4.6
76,muara_teweh,2019-03-24,,4.2
77,muara_teweh,2019-03-25,,3.9
78,muara_teweh,2019-03-26,,3.6
79,muara_teweh,2019-03-27,,3.3
80,muara_teweh,2019-03-28,,3.2
81,muara_teweh,2019-03-29,,3.9
82,muara_teweh,2019-03-30,,4.9
83,muara_teweh,2019-03-31,,5.2
84,muara_teweh,2019-04-01,,6.0
85,muara_teweh,2019-04-02,,7.1
86,muara_teweh,2019-04-03,,7.7
87,muara_teweh,2019-04-04,,8.55
88,muara_teweh,2019-04-05,,8.5
89,muara_teweh,2019-04-06,,9.9
90,muara_teweh,2019-04-07,,10.35
91,muara_teweh,2019-04-08,,9.9
92,muara_teweh,2019-04-09,,8.6
93,muara_teweh,2019-04-10,,7.2
94,muara_teweh,2019-04-11,,7.2
95,muara_teweh,2019-04-12,,7.05
96,muara_teweh,2019-04-13,,7.25
97,muara_teweh,2019-04-14,,7.4
98,muara_teweh,2019-04-15,,9.2
99,muara_teweh,2019-04-16,,10.5
100,muara_teweh,2019-04-17,,11.5
101,muara_teweh,2019-04-18,,11.9
102,muara_teweh,2019-04-19,,11.6
103,muara_teweh,2019-04-20,,10.4
104,muara_teweh,2019-04-21,,9.9
105,muara_teweh,2019-04-22,,9.5
106,muara_teweh,2019-04-23,,8.85
107,muara_teweh,2019-04-24,,7.7
108,muara_teweh,2019-04-25,,6.6
109,muara_teweh,2019-04-26,,5.5
110,muara_teweh,2019-04-27,,5.4
111,muara_teweh,2019-04-28,,6.8
112,muara_teweh,2019-04-29,,8.9
113,muara_teweh,2019-04-30,,11.1
114,muara_teweh,2019-05-01,,11.1
115,muara_teweh,2019-05-02,,10.4
116,muara_teweh,2019-05-03,,8.7
