,location,date,hour,measurement
0,papar_pujung,2022-03-25,2,8.7
1,papar_pujung,2022-03-26,6,8.4
2,papar_pujung,2022-03-26,10,7.8
3,papar_pujung,2022-03-26,14,7.5
4,papar_pujung,2022-03-26,18,7.2
5,papar_pujung,2022-03-26,22,6.9
6,papar_pujung,2022-03-26,2,6.5
7,papar_pujung,2022-03-27,6,6.2
8,papar_pujung,2022-03-27,10,6.1
9,papar_pujung,2022-03-27,14,6.1
10,papar_pujung,2022-03-27,18,6.2
11,papar_pujung,2022-03-27,22,6.2
12,papar_pujung,2022-03-27,2,6.2
13,papar_pujung,2022-03-28,6,6.2
14,papar_pujung,2022-03-28,10,6.3
15,papar_pujung,2022-03-28,14,6.3
16,papar_pujung,2022-03-28,18,6.4
17,papar_pujung,2022-03-28,22,6.35
18,papar_pujung,2022-03-28,2,6.3
19,papar_pujung,2022-03-29,6,6.3
20,papar_pujung,2022-03-29,10,6.3
21,papar_pujung,2022-03-29,14,6.1
22,papar_pujung,2022-03-29,18,6.1
23,papar_pujung,2022-03-29,22,6.2
24,papar_pujung,2022-03-29,2,6.3
25,papar_pujung,2022-03-30,6,6.3
26,papar_pujung,2022-03-30,10,6.1
27,papar_pujung,2022-03-30,14,6.0
28,papar_pujung,2022-03-30,18,5.9
29,papar_pujung,2022-03-30,22,5.8
30,papar_pujung,2022-03-30,2,5.5
31,papar_pujung,2022-03-31,6,5.3
32,papar_pujung,2022-03-31,10,5.2
33,papar_pujung,2022-03-31,14,5.1
34,papar_pujung,2022-03-31,18,4.9
35,papar_pujung,2022-03-31,22,4.9
36,papar_pujung,2022-03-31,2,4.9
37,papar_pujung,2022-04-01,6,4.9
38,papar_pujung,2022-04-01,10,5.1
39,papar_pujung,2022-04-01,14,5.3
40,papar_pujung,2022-04-01,18,5.3
41,papar_pujung,2022-04-01,22,5.2
42,papar_pujung,2022-04-01,2,5.1
43,papar_pujung,2022-04-02,6,5.0
44,papar_pujung,2022-04-02,10,4.9
45,papar_pujung,2022-04-02,14,4.8
46,papar_pujung,2022-04-02,18,4.8
47,papar_pujung,2022-04-02,22,4.7
48,papar_pujung,2022-04-02,2,4.7
49,papar_pujung,2022-04-03,6,4.6
50,papar_pujung,2022-04-03,10,4.6
51,papar_pujung,2022-04-03,14,4.3
52,papar_pujung,2022-04-03,18,4.2
53,papar_pujung,2022-04-03,22,4.1
54,papar_pujung,2022-04-03,2,4.1
55,papar_pujung,2022-04-04,6,4.05
56,papar_pujung,2022-04-04,10,4.0
57,papar_pujung,2022-04-04,14,4.2
58,papar_pujung,2022-04-04,18,4.2
59,papar_pujung,2022-04-04,22,4.4
60,papar_pujung,2022-04-04,2,4.45
61,papar_pujung,2022-04-05,6,4.5
62,papar_pujung,2022-04-05,10,4.9
63,papar_pujung,2022-04-05,14,5.0
64,papar_pujung,2022-04-05,18,5.1
65,papar_pujung,2022-04-05,22,5.3
66,papar_pujung,2022-04-05,2,5.45
67,papar_pujung,2022-04-06,6,5.6
68,papar_pujung,2022-04-06,10,5.7
69,papar_pujung,2022-04-06,14,5.9
70,papar_pujung,2022-04-06,18,6.0
71,papar_pujung,2022-04-06,22,6.1
72,papar_pujung,2022-04-06,2,6.25
73,papar_pujung,2022-04-07,6,6.4
74,papar_pujung,2022-04-07,10,6.45
75,papar_pujung,2022-04-07,14,6.5
76,papar_pujung,2022-04-07,18,6.5
77,papar_pujung,2022-04-07,22,6.4
78,papar_pujung,2022-04-07,2,6.4
79,papar_pujung,2022-04-08,6,6.4
80,papar_pujung,2022-04-08,10,6.4
81,papar_pujung,2022-04-08,14,6.25
82,papar_pujung,2022-04-08,18,6.2
83,papar_pujung,2022-04-08,22,6.2
84,papar_pujung,2022-04-08,2,6.3
85,papar_pujung,2022-04-09,6,6.3
86,papar_pujung,2022-04-09,10,6.1
87,papar_pujung,2022-04-09,14,6.0
88,papar_pujung,2022-04-09,18,5.2
89,papar_pujung,2022-04-09,22,4.7
90,papar_pujung,2022-04-09,2,4.5
91,papar_pujung,2022-04-10,6,4.3
92,papar_pujung,2022-04-10,10,4.1
93,papar_pujung,2022-04-10,14,4.0
94,papar_pujung,2022-04-10,18,3.9
95,papar_pujung,2022-04-10,22,3.7
96,papar_pujung,2022-04-10,2,3.65
97,papar_pujung,2022-04-11,6,3.6
98,papar_pujung,2022-04-11,10,3.6
99,papar_pujung,2022-04-11,14,3.6
100,papar_pujung,2022-04-11,18,3.5
101,papar_pujung,2022-04-11,22,3.4
102,papar_pujung,2022-04-12,2,3.4
103,papar_pujung,2022-04-13,6,3.4
104,papar_pujung,2022-04-13,10,3.3
105,papar_pujung,2022-04-13,14,3.3
106,papar_pujung,2022-04-13,18,3.3
107,papar_pujung,2022-04-13,22,3.2
