,Location,Date,Hour,Measurement
0,siwak,2019-01-01,2,
1,siwak,2019-01-01,6,3.2
2,siwak,2019-01-01,10,
3,siwak,2019-01-01,14,
4,siwak,2019-01-01,18,
5,siwak,2019-01-01,22,
6,siwak,2019-01-02,2,
7,siwak,2019-01-02,6,2.8
8,siwak,2019-01-02,10,
9,siwak,2019-01-02,14,
10,siwak,2019-01-02,18,
11,siwak,2019-01-02,22,
12,siwak,2019-01-03,2,
13,siwak,2019-01-03,6,2.9
14,siwak,2019-01-03,10,
15,siwak,2019-01-03,14,
16,siwak,2019-01-03,18,
17,siwak,2019-01-03,22,
18,siwak,2019-01-04,2,
19,siwak,2019-01-04,6,3.2
20,siwak,2019-01-04,10,
21,siwak,2019-01-04,14,
22,siwak,2019-01-04,18,
23,siwak,2019-01-04,22,
24,siwak,2019-01-05,2,
25,siwak,2019-01-05,6,3.5
26,siwak,2019-01-05,10,
27,siwak,2019-01-05,14,
28,siwak,2019-01-05,18,
29,siwak,2019-01-05,22,
30,siwak,2019-01-06,2,
31,siwak,2019-01-06,6,3.4
32,siwak,2019-01-06,10,
33,siwak,2019-01-06,14,
34,siwak,2019-01-06,18,
35,siwak,2019-01-06,22,
36,siwak,2019-01-07,2,
37,siwak,2019-01-07,6,3.4
38,siwak,2019-01-07,10,
39,siwak,2019-01-07,14,
40,siwak,2019-01-07,18,
41,siwak,2019-01-07,22,
42,siwak,2019-01-08,2,
43,siwak,2019-01-08,6,2.7
44,siwak,2019-01-08,10,
45,siwak,2019-01-08,14,
46,siwak,2019-01-08,18,
47,siwak,2019-01-08,22,
48,siwak,2019-01-09,2,
49,siwak,2019-01-09,6,2.7
50,siwak,2019-01-09,10,
51,siwak,2019-01-09,14,
52,siwak,2019-01-09,18,
53,siwak,2019-01-09,22,
54,siwak,2019-01-10,2,
55,siwak,2019-01-10,6,
56,siwak,2019-01-10,10,
57,siwak,2019-01-10,14,
58,siwak,2019-01-10,18,
59,siwak,2019-01-10,22,
60,siwak,2019-01-11,2,
61,siwak,2019-01-11,6,4.9
62,siwak,2019-01-11,10,
63,siwak,2019-01-11,14,
64,siwak,2019-01-11,18,
65,siwak,2019-01-11,22,
66,siwak,2019-01-12,2,
67,siwak,2019-01-12,6,6.4
68,siwak,2019-01-12,10,
69,siwak,2019-01-12,14,
70,siwak,2019-01-12,18,
71,siwak,2019-01-12,22,
72,siwak,2019-01-13,2,
73,siwak,2019-01-13,6,6.9
74,siwak,2019-01-13,10,
75,siwak,2019-01-13,14,
76,siwak,2019-01-13,18,
77,siwak,2019-01-13,22,
78,siwak,2019-01-14,2,
79,siwak,2019-01-14,6,7.0
80,siwak,2019-01-14,10,
