,location,date,measurement
0,tarusan,2019-01-10,
1,tarusan,2019-01-26,
2,tarusan,2019-06-02,
3,tarusan,2019-09-01,
4,tarusan,2019-09-03,
5,tarusan,2021-01-01,
6,tarusan,2021-01-02,
7,tarusan,2021-01-03,
8,tarusan,2021-01-04,
9,tarusan,2021-01-05,
10,tarusan,2021-01-06,
11,tarusan,2021-01-07,
12,tarusan,2021-01-08,
13,tarusan,2021-01-09,
14,tarusan,2021-01-10,
15,tarusan,2021-01-11,
16,tarusan,2021-01-12,
17,tarusan,2021-01-13,
18,tarusan,2021-01-14,
19,tarusan,2021-01-15,
20,tarusan,2021-01-16,
21,tarusan,2021-01-17,
22,tarusan,2021-01-18,
23,tarusan,2021-01-19,
24,tarusan,2021-01-20,
25,tarusan,2021-01-21,
26,tarusan,2021-01-22,
27,tarusan,2021-01-23,
28,tarusan,2021-01-24,
29,tarusan,2021-01-25,
30,tarusan,2021-01-26,
31,tarusan,2021-01-27,
32,tarusan,2021-01-28,
33,tarusan,2021-01-29,
34,tarusan,2021-01-30,
35,tarusan,2021-01-31,
36,tarusan,2021-03-20,
37,tarusan,2021-03-30,
38,tarusan,2019-07-11,2.0
39,tarusan,2019-07-12,2.0
40,tarusan,2019-07-16,2.0
41,tarusan,2019-07-18,2.0
42,tarusan,2019-08-05,2.0
43,tarusan,2019-08-06,2.0
44,tarusan,2019-09-04,2.0
45,tarusan,2019-09-05,2.0
46,tarusan,2019-09-06,2.0
47,tarusan,2019-09-07,2.0
48,tarusan,2020-12-08,2.0
49,tarusan,2021-03-04,2.0
50,tarusan,2021-08-03,2.0
51,tarusan,2021-08-09,2.0
52,tarusan,2019-10-04,2.25
53,tarusan,2019-11-10,2.5
54,tarusan,2019-11-16,2.5
55,tarusan,2020-09-23,2.5
56,tarusan,2020-11-17,2.5
57,tarusan,2021-08-04,2.5
58,tarusan,2021-08-16,2.5
59,tarusan,2019-05-12,3.0
60,tarusan,2019-05-13,3.0
61,tarusan,2019-06-01,3.0
62,tarusan,2019-06-05,3.0
63,tarusan,2019-11-09,3.0
64,tarusan,2019-11-21,3.0
65,tarusan,2020-08-18,3.0
66,tarusan,2020-11-16,3.0
67,tarusan,2020-12-05,3.0
68,tarusan,2021-02-18,3.0
69,tarusan,2021-02-19,3.0
70,tarusan,2021-06-10,3.0
71,tarusan,2021-06-11,3.0
72,tarusan,2021-08-11,3.0
73,tarusan,2019-03-22,3.5
74,tarusan,2019-03-25,3.5
75,tarusan,2019-07-05,3.5
76,tarusan,2019-08-30,3.5
77,tarusan,2019-08-31,3.5
78,tarusan,2019-11-08,3.5
79,tarusan,2020-01-02,3.5
80,tarusan,2020-01-25,3.5
81,tarusan,2021-02-24,3.5
82,tarusan,2021-04-06,3.5
83,tarusan,2021-07-15,3.5
84,tarusan,2021-10-29,3.5
85,tarusan,2022-02-04,3.5
86,tarusan,2019-01-06,3.75
87,tarusan,2019-01-07,3.75
88,tarusan,2019-11-30,3.75
89,tarusan,2021-06-14,3.75
90,tarusan,2019-03-31,4.0
91,tarusan,2019-12-30,4.0
92,tarusan,2020-07-22,4.0
93,tarusan,2020-07-27,4.0
94,tarusan,2020-07-28,4.0
95,tarusan,2020-09-06,4.0
96,tarusan,2020-10-06,4.0
97,tarusan,2020-10-09,4.0
98,tarusan,2020-11-14,4.0
99,tarusan,2020-12-03,4.0
100,tarusan,2021-03-17,4.0
101,tarusan,2021-05-12,4.0
102,tarusan,2021-07-10,4.0
103,tarusan,2021-07-12,4.0
104,tarusan,2022-03-17,4.0
105,tarusan,2019-03-18,4.5
106,tarusan,2019-07-02,4.5
107,tarusan,2019-08-28,4.5
108,tarusan,2019-11-05,4.5
109,tarusan,2019-12-01,4.5
110,tarusan,2019-12-08,4.5
111,tarusan,2019-12-29,4.5
112,tarusan,2020-01-21,4.5
113,tarusan,2020-03-18,4.5
114,tarusan,2020-03-19,4.5
115,tarusan,2020-07-24,4.5
116,tarusan,2020-09-27,4.5
117,tarusan,2020-10-16,4.5
118,tarusan,2021-05-07,4.5
119,tarusan,2021-05-17,4.5
120,tarusan,2021-05-31,4.5
121,tarusan,2021-06-26,4.5
122,tarusan,2021-07-11,4.5
123,tarusan,2021-10-21,4.5
124,tarusan,2021-10-26,4.5
125,tarusan,2021-10-27,4.5
126,tarusan,2021-12-13,4.5
127,tarusan,2021-12-28,4.5
128,tarusan,2022-01-30,4.5
129,tarusan,2022-02-01,4.5
130,tarusan,2022-02-27,4.5
131,tarusan,2019-03-19,4.75
132,tarusan,2019-12-06,4.75
133,tarusan,2019-12-11,4.75
134,tarusan,2019-01-27,5.0
135,tarusan,2019-03-16,5.0
136,tarusan,2019-04-02,5.0
137,tarusan,2019-06-28,5.0
138,tarusan,2019-12-03,5.0
139,tarusan,2019-12-28,5.0
140,tarusan,2020-03-17,5.0
141,tarusan,2020-05-11,5.0
142,tarusan,2020-11-02,5.0
143,tarusan,2020-11-23,5.0
144,tarusan,2021-03-10,5.0
145,tarusan,2021-03-18,5.0
146,tarusan,2021-12-08,5.0
147,tarusan,2021-12-27,5.0
148,tarusan,2022-01-03,5.0
149,tarusan,2019-02-05,5.5
150,tarusan,2019-02-27,5.5
151,tarusan,2019-05-28,5.5
152,tarusan,2019-10-20,5.5
153,tarusan,2019-12-21,5.5
154,tarusan,2020-01-11,5.5
155,tarusan,2020-01-12,5.5
156,tarusan,2020-01-18,5.5
157,tarusan,2020-05-12,5.5
158,tarusan,2020-09-21,5.5
159,tarusan,2020-11-13,5.5
160,tarusan,2021-06-23,5.5
161,tarusan,2021-06-24,5.5
162,tarusan,2019-02-24,6.0
163,tarusan,2019-04-25,6.0
164,tarusan,2020-01-10,6.0
165,tarusan,2020-01-17,6.0
166,tarusan,2020-02-25,6.0
167,tarusan,2020-06-13,6.0
168,tarusan,2021-03-12,6.0
169,tarusan,2021-04-19,6.0
170,tarusan,2021-07-17,6.0
171,tarusan,2021-11-25,6.0
172,tarusan,2022-02-18,6.0
173,tarusan,2022-02-22,6.0
174,tarusan,2019-05-20,6.5
175,tarusan,2019-06-27,6.5
176,tarusan,2019-12-15,6.5
177,tarusan,2020-05-26,6.5
178,tarusan,2020-06-05,6.5
179,tarusan,2020-07-17,6.5
180,tarusan,2020-07-18,6.5
181,tarusan,2020-10-02,6.5
182,tarusan,2020-11-10,6.5
183,tarusan,2021-04-18,6.5
184,tarusan,2021-07-04,6.5
185,tarusan,2021-08-28,6.5
186,tarusan,2021-10-01,6.5
187,tarusan,2022-01-11,6.5
188,tarusan,2022-03-12,6.5
189,tarusan,2019-05-18,6.75
190,tarusan,2019-02-23,7.0
191,tarusan,2019-04-05,7.0
192,tarusan,2020-01-09,7.0
193,tarusan,2020-01-29,7.0
194,tarusan,2020-04-05,7.0
195,tarusan,2020-06-28,7.0
196,tarusan,2020-07-01,7.0
197,tarusan,2020-11-04,7.0
198,tarusan,2021-09-26,7.0
199,tarusan,2021-09-30,7.0
200,tarusan,2021-12-17,7.0
201,tarusan,2019-04-08,7.5
202,tarusan,2019-04-17,7.5
203,tarusan,2019-04-21,7.5
204,tarusan,2019-05-02,7.5
205,tarusan,2019-06-08,7.5
206,tarusan,2019-06-14,7.5
207,tarusan,2020-01-08,7.5
208,tarusan,2020-02-03,7.5
209,tarusan,2020-02-07,7.5
210,tarusan,2020-02-15,7.5
211,tarusan,2020-02-24,7.5
212,tarusan,2020-03-24,7.5
213,tarusan,2020-03-26,7.5
214,tarusan,2020-04-08,7.5
215,tarusan,2020-05-18,7.5
216,tarusan,2020-06-02,7.5
217,tarusan,2020-06-29,7.5
218,tarusan,2020-07-15,7.5
219,tarusan,2020-11-06,7.5
220,tarusan,2020-11-08,7.5
221,tarusan,2021-02-04,7.5
222,tarusan,2021-11-28,7.5
223,tarusan,2021-12-16,7.5
224,tarusan,2020-05-17,7.75
225,tarusan,2019-01-19,8.0
226,tarusan,2019-06-17,8.0
227,tarusan,2020-02-10,8.0
228,tarusan,2020-03-14,8.0
229,tarusan,2021-09-07,8.0
230,tarusan,2021-09-10,8.0
231,tarusan,2021-10-06,8.0
232,tarusan,2021-10-10,8.0
233,tarusan,2021-11-07,8.0
234,tarusan,2021-11-09,8.0
235,tarusan,2021-11-29,8.0
236,tarusan,2022-01-17,8.0
237,tarusan,2019-02-16,8.5
238,tarusan,2019-02-17,8.5
239,tarusan,2019-02-18,8.5
240,tarusan,2019-06-23,8.5
241,tarusan,2020-02-19,8.5
242,tarusan,2020-03-07,8.5
243,tarusan,2020-10-23,8.5
244,tarusan,2021-05-24,8.5
245,tarusan,2021-11-05,8.5
246,tarusan,2021-11-11,8.5
247,tarusan,2021-12-01,8.5
248,tarusan,2022-01-25,8.5
249,tarusan,2019-09-20,0.75
250,tarusan,2019-09-21,0.75
251,tarusan,2019-09-22,0.75
252,tarusan,2019-08-15,1.0
253,tarusan,2019-08-19,1.0
254,tarusan,2019-08-20,1.0
255,tarusan,2019-07-25,1.25
256,tarusan,2019-07-28,1.25
257,tarusan,2019-07-21,1.5
258,tarusan,2020-12-12,1.5
259,tarusan,2019-10-16,2.4
260,tarusan,2019-11-15,2.4
261,tarusan,2020-08-27,2.4
262,tarusan,2020-08-31,2.4
263,tarusan,2020-11-18,2.4
264,tarusan,2021-02-28,2.4
265,tarusan,2019-06-03,2.65
266,tarusan,2020-08-13,2.65
267,tarusan,2019-07-07,2.9
268,tarusan,2019-10-05,2.9
269,tarusan,2020-01-26,2.9
270,tarusan,2020-06-17,2.9
271,tarusan,2020-09-02,2.9
272,tarusan,2021-04-25,2.9
273,tarusan,2021-06-06,2.9
274,tarusan,2021-06-12,2.9
275,tarusan,2021-06-19,2.9
276,tarusan,2021-07-24,2.9
277,tarusan,2021-08-13,2.9
278,tarusan,2021-10-19,2.9
279,tarusan,2021-10-30,2.9
280,tarusan,2022-02-06,2.9
281,tarusan,2019-03-26,3.15
282,tarusan,2019-01-03,3.4
283,tarusan,2019-03-29,3.4
284,tarusan,2019-05-08,3.4
285,tarusan,2019-05-14,3.4
286,tarusan,2019-11-20,3.4
287,tarusan,2019-11-24,3.4
288,tarusan,2020-08-05,3.4
289,tarusan,2020-11-15,3.4
290,tarusan,2021-02-25,3.4
291,tarusan,2021-04-08,3.4
292,tarusan,2021-04-24,3.4
293,tarusan,2021-06-13,3.4
294,tarusan,2021-06-17,3.4
295,tarusan,2021-07-23,3.4
296,tarusan,2021-10-17,3.4
297,tarusan,2019-01-05,3.9
298,tarusan,2019-05-31,3.9
299,tarusan,2019-07-03,3.9
300,tarusan,2019-10-11,3.9
301,tarusan,2019-11-07,3.9
302,tarusan,2019-11-25,3.9
303,tarusan,2020-04-24,3.9
304,tarusan,2020-06-20,3.9
305,tarusan,2020-08-02,3.9
306,tarusan,2020-08-06,3.9
307,tarusan,2020-08-19,3.9
308,tarusan,2020-08-20,3.9
309,tarusan,2020-09-07,3.9
310,tarusan,2020-09-08,3.9
311,tarusan,2020-10-14,3.9
312,tarusan,2020-10-15,3.9
313,tarusan,2020-12-26,3.9
