fid,id,left,top,row_index,col_index,pixel_loc_left,pixel_loc_top,actual_x,actual_y
1,8,113.547166418,0.045937844,2,1,96,251,113.54716707417,0.0459423928996872
2,9,113.547166418,-0.354062156,3,1,96,288,113.54716707417,-0.354057607100313
3,12,113.947166418,0.445937844,1,2,132,215,113.94716707417,0.445942392899687
4,13,113.947166418,0.045937844,2,2,132,251,113.94716707417,0.0459423928996872
5,14,113.947166418,-0.354062156,3,2,132,288,113.94716707417,-0.354057607100313
6,17,114.347166418,0.445937844,1,3,169,215,114.34716707417,0.445942392899687
7,18,114.347166418,0.045937844,2,3,169,251,114.34716707417,0.0459423928996872
8,19,114.347166418,-0.354062156,3,3,169,288,114.34716707417,-0.354057607100313
9,20,114.347166418,-0.754062156,4,3,169,324,114.34716707417,-0.754057607100313
10,22,114.747166418,0.445937844,1,4,205,215,114.74716707417,0.445942392899687
11,24,114.747166418,-0.354062156,3,4,205,288,114.74716707417,-0.354057607100313
